datetime,Ta,RH,WS,P,Kd,Ld
06/08/2003 00:00,9.119,63.813,5.703,992.002,0.0,260.444
06/08/2003 00:30,8.932,64.106,5.799,991.941,0.0,260.796
06/08/2003 01:00,8.745,64.397,5.97,991.88,0.0,261.147
06/08/2003 01:30,8.584,65.317,6.161,992.133,0.0,262.959
06/08/2003 02:00,8.423,66.25,6.456,992.386,0.0,264.771
06/08/2003 02:30,8.342,66.479,6.77,992.502,0.0,263.968
06/08/2003 03:00,8.261,66.708,7.092,992.618,0.0,263.164
06/08/2003 03:30,8.234,67.005,7.293,992.581,0.0,267.829
06/08/2003 04:00,8.207,67.302,7.495,992.545,0.0,272.493
06/08/2003 04:30,8.409,70.002,7.388,992.717,0.0,269.639
06/08/2003 05:00,8.611,72.618,7.283,992.888,0.0,266.785
06/08/2003 05:30,8.568,72.388,6.978,992.922,0.0,271.411
06/08/2003 06:00,8.526,72.151,6.673,992.955,0.0,276.038
06/08/2003 06:30,8.469,72.652,6.378,993.425,0.0,278.609
06/08/2003 07:00,8.413,73.151,6.101,993.896,0.0,281.181
06/08/2003 07:30,7.923,75.482,6.164,994.538,8.28,280.194
06/08/2003 08:00,7.433,77.897,6.288,995.179,16.56,279.207
06/08/2003 08:30,7.813,76.571,6.45,995.63,45.089,298.688
06/08/2003 09:00,8.192,75.274,6.614,996.08,73.618,318.168
06/08/2003 09:30,8.629,74.528,6.872,996.883,110.98,318.567
06/08/2003 10:00,9.067,73.777,7.214,997.687,148.342,318.966
06/08/2003 10:30,9.431,71.653,6.967,998.185,200.283,317.636
06/08/2003 11:00,9.795,69.594,7.01,998.684,252.224,316.307
06/08/2003 11:30,10.215,65.353,6.868,998.799,280.821,312.275
06/08/2003 12:00,10.635,61.298,6.88,998.915,309.418,308.243
06/08/2003 12:30,11.079,58.227,6.475,998.903,352.34,316.211
06/08/2003 13:00,11.524,55.286,6.082,998.89,395.261,324.178
06/08/2003 13:30,12.076,50.67,6.179,999.003,346.669,326.097
